state,seed,source_file,samples_raw,duration_s,raw_fs_hz,view_fs_hz,band_low_hz,band_high_hz,epoch_start_s,epoch_end_s,rms_au,p99_9_abs_au,peak_abs_au,delta_pct,theta_pct,alpha_pct,beta_pct,dominant_hz,spectral_centroid_hz,excess_kurtosis
2,1,lfp_state2_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.9114698805890505,3.591264047691536,4.542470420017459,96.0844520481675,1.7140868107360374,0.9146528995507258,0.9303044086338913,0.78125,1.337688605857379,0.5426975170808466
2,2,lfp_state2_seed2_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,1.0705045096130448,3.6124948168246522,4.359025365486941,96.84387507518785,1.4786002819015986,0.7304156370657751,0.7338544519667586,0.78125,1.22246916442699,-0.3117356626782035
2,3,lfp_state2_seed3_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.7878732412556531,3.268236655835835,3.928793505992149,95.04827440703123,2.2663893535823796,1.1838988559831645,1.1721909063214915,0.78125,1.475535210852896,0.4737431287292022
35,1,lfp_state35_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.5569541384861412,3.103718054896251,4.785812611617981,77.52402300309664,10.247845703348256,5.555945446693875,5.8394479741486025,0.78125,3.3687477407705093,4.267552093194816
35,2,lfp_state35_seed2_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.5586249087908508,2.998734156309804,3.9255014248708426,76.63600733452148,11.03828779763135,5.894657809939788,5.532468402907703,0.78125,3.395341283837979,3.5435325977602874
35,3,lfp_state35_seed3_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.5257718771765241,2.985889633219005,4.27046086096145,77.44913410301162,10.751659330657182,5.290286577156049,5.645828381123977,0.78125,3.3697485214844662,3.8530224018670287
38,1,lfp_state38_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,1.0203639998368148,3.4056720307516546,4.977954461733835,97.24732475955135,1.2213141744709402,0.639839034190117,0.6855922541825116,0.78125,1.1865842610744355,-0.1227293122133446
38,2,lfp_state38_seed2_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.689194872354715,2.735152203818808,3.740449435873058,95.72455583327505,1.8434440995368586,1.0517691827607134,1.080734556525261,0.78125,1.4330729138947524,0.36924827540471616
38,3,lfp_state38_seed3_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,1.0489888374596534,4.383956960315734,5.945587549923222,96.95802458313784,1.4750689902934195,0.6895240106405196,0.6764606648218793,0.78125,1.220485129077103,0.372899376507569
39,1,lfp_state39_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,1.2540412334354032,4.451672457921297,6.254345848643659,96.61475668058785,1.398049455247661,0.9431599367135827,0.8173127633148137,0.78125,1.2554977815082367,-0.34369903804663116
39,2,lfp_state39_seed2_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.4496084957012738,2.3049348912609466,2.8945217229610285,88.7535069727396,5.55308924840101,2.390647856570185,2.4876001067352704,0.78125,2.2723542219907933,2.087803961746289
39,3,lfp_state39_seed3_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.4773032394774924,2.3702619729985743,2.904254209334787,88.70186464361952,5.443091652384052,2.422400857445856,2.675276644911613,0.78125,2.2656134179135443,1.8898264866632362
40,1,lfp_state40_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.6211849023117667,3.03252521257621,4.099335898801518,84.69726915100156,6.588416491370287,3.9908978036647347,4.033085195588129,0.78125,2.574780572115326,1.9888046624411544
40,2,lfp_state40_seed2_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.5617823522855325,3.117223117781785,3.817169941008263,83.49669656149095,7.300740484999923,4.1216374282518995,4.324873713963177,0.78125,2.7614827175641437,3.096861203656772
40,3,lfp_state40_seed3_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.5884206087914747,3.1389214725566292,3.765352992571393,82.26788173982558,8.335005969889613,3.920667005306652,4.797789144093804,0.78125,2.8714425919435067,2.458962637032487
42,1,lfp_state42_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.6425681111805738,2.8376453911360486,4.508050044158921,89.13578750317272,4.704756927270925,2.521541666281434,3.1584072144208752,0.78125,2.2564946863376987,1.4743040402056717
42,2,lfp_state42_seed2_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.7268431120343493,3.4417518904968154,4.2538851876864925,91.46810046872037,3.6236813571854563,2.0195881419265325,2.503616405357779,0.78125,1.9344694149939168,1.7134251176351736
42,3,lfp_state42_seed3_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.6719269311321299,3.111413491191101,3.691171243335956,89.74840363260176,4.361576285796466,2.464941565175616,2.8971948409460517,0.78125,2.133097430706896,1.3555925457945026
44,1,lfp_state44_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.7779595361502633,3.5912274145431256,4.962322273366219,92.2051018146042,3.205620560767012,2.161980643548488,2.049978467449105,0.78125,1.8034596175042596,1.482445180588262
44,2,lfp_state44_seed2_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.7668933639887947,3.870905072739386,4.774770872212498,92.17136491296112,3.3572400976392354,1.8494200455210432,2.233216044953838,0.78125,1.83324941790779,1.8393690386238681
44,3,lfp_state44_seed3_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.7278913221491764,3.259678609933326,5.275523516138035,91.18313455613236,3.4999664821184595,2.343200565827973,2.5232962585149945,0.78125,1.9413975973143907,1.8273480209032638
