state,seed,source_file,samples_raw,duration_s,raw_fs_hz,view_fs_hz,band_low_hz,band_high_hz,epoch_start_s,epoch_end_s,rms_au,p99_9_abs_au,peak_abs_au,delta_pct,theta_pct,alpha_pct,beta_pct,dominant_hz,spectral_centroid_hz,excess_kurtosis
5,1,lfp_state5_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.017021014672331507,0.06686061590241378,0.10329750926789645,10.611992160232953,12.600973285817984,17.001551513156873,57.58163391425371,18.1640625,14.606193843960167,0.4228871042862661
6,1,lfp_state6_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.004606695215612623,0.02885311715174415,0.042166433870491085,10.020674183022324,13.675991396818716,18.78109709929769,55.2554345431254,11.328125,14.484260087146096,6.803218207351131
7,1,lfp_state7_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.02077079036344032,0.08024246989774542,0.11513737206299755,13.178415161157899,13.367676177275149,18.63196451564057,52.6832180892112,19.53125,13.99951656233653,0.41760564072724815
8,1,lfp_state8_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.2128485127486136,1.9694831312058962,2.687592820436201,1.9146158469254417,60.202270814516055,11.79993065292794,24.536993483608903,5.6640625,10.074611841663897,30.23914169812096
9,1,lfp_state9_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.027206734550168532,0.10117962705970908,0.14874116715141567,15.207149224960155,12.155023125249777,17.887767360332454,52.63255713988821,0.78125,13.762504667639714,0.2772783800164378
10,1,lfp_state10_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.039729592749962406,0.24674574550356576,1.3196651494029963,16.869588446802084,20.574989194150735,13.479827042679618,46.63372349985391,1.171875,12.497583370410533,200.80535914129973
11,1,lfp_state11_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.032118790777629316,0.11603698424150113,0.18155492218038335,15.661769339290101,14.4261320202788,17.843380375349906,49.84082353742129,1.3671875,13.492967968185214,0.16471060314740882
12,1,lfp_state12_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.02654056562858713,0.0931802711521514,0.11405019144662566,14.093654651071413,14.491503701045314,16.443141584067327,52.878789028033445,1.171875,13.884616451686382,0.07247794693860676
13,1,lfp_state13_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.030588043063346018,0.11308363055889874,0.1542036422499084,15.054447074618333,14.481423007273207,17.1210837351234,51.463440944264384,6.0546875,13.576122033571345,0.17040835409676447
14,1,lfp_state14_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.15096833419538408,1.7561612055989486,2.61508710200453,6.98290938180749,58.01825142355437,4.4377698999588535,29.204066806002537,7.2265625,10.140013539668235,66.55048257334487
15,1,lfp_state15_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.030997347993919407,0.1148620473700284,0.15151284230926965,14.76838272727688,15.053983429395409,15.163079048933302,52.79367560453141,1.171875,13.74988058882849,0.133590767639304
16,1,lfp_state16_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.04490246263948555,0.35585444112368725,1.095453365556963,22.963416189730406,21.221237766589258,13.340052728642718,40.29638871429694,0.78125,11.373051123966766,86.71586636721707
